

蓝光4k,#genre#
10,https://txmov2.a.kwimgs.com/upic/2025/11/12/09/BMjAyNTExMTIwOTQ4MDBfMzgxNzIxOTk5XzE3OTY3NjAwODEzMV8yXzM=_b_B12306dbda6b62f912c225e762bf13160.mp4?tag=1-1763114670-unknown-0-16wkskgxif-2a7cc9e6a1cadf62&clientCacheKey=3xspgw2isyzvcfy_b.mp4&bp=10000&kwai-not-alloc=35&tt=b&ss=vps
11,https://txmov2.a.kwimgs.com/upic/2025/11/12/09/BMjAyNTExMTIwOTI1MjZfMzgxNzIxOTk5XzE3OTY3NDkzNjI5OV8yXzM=_b_B1497af9452e8432767eb521e14f39813.mp4?tag=1-1763114999-unknown-0-8oux5g8xmy-0ea3a1fa7e1270bc&clientCacheKey=3xa6b3gcqegtriu_b.mp4&bp=10000&kwai-not-alloc=35&tt=b&ss=vps
12,http://hwmov.a.yximgs.com/upic/2025/11/12/09/BMjAyNTExMTIwOTQ1NTFfMzgxNzIxOTk5XzE3OTY3NTgzMTQ5NV8yXzM=_b_B336ebc3d0b8a1a49d387feea6e88ddb5.mp4?tag=1-1763114762-std-0-odhsb8dzsy-29d2643e8063a946&clientCacheKey=3xzu3m6xsbi7mvc_b.mp4&tt=b&di=6a360151&bp=11731
13,https://txmov2.a.kwimgs.com/upic/2025/11/12/09/BMjAyNTExMTIwOTM5NTVfMzgxNzIxOTk5XzE3OTY3NTYwNDkwNl8yXzM=_b_B8685293cab1b4dfebd5710d49852fecb.mp4?tag=1-1763114810-unknown-0-xcif62l6v3-e2ed667fec8839dd&clientCacheKey=3xfvxnk788x5r82_b.mp4&bp=10000&kwai-not-alloc=35&tt=b&ss=vps
14,https://txmov2.a.kwimgs.com/upic/2025/11/11/17/BMjAyNTExMTExNzA0MTVfMzgxNzIxOTk5XzE3OTYzMDAwNjM2Nl8yXzM=_b_Bf54ea48be9a10fdda0e00efd0aa2070e.mp4?tag=1-1763115946-unknown-0-vfnsofdh40-eadcb7b6e96e6946&clientCacheKey=3xiezyt4cp95ae2_b.mp4&bp=10000&kwai-not-alloc=35&tt=b&ss=vps
15,http://alimov2.a.kwimgs.com/upic/2025/11/09/10/BMjAyNTExMDkxMDIyNTJfMzgxNzIxOTk5XzE3OTQ0MjczNzAzNF8yXzM=_b_B157a2d960d115a3650f87ff2b598c598.mp4?tag=1-1762669712-std-0-aobs1mbdob-c395dbe45204886f&clientCacheKey=3xe9q6wcsch45a6_b.mp4&tt=b&di=6a360151&bp=11731



裸眼3D四区,#genre#
3D01,https://vd3.bdstatic.com/mda-mfnc43q5ngnzua6p/sc/cae_h264/1624437508830556235/mda-mfnc43q5ngnzua6p.mp4
3D02,https://vd3.bdstatic.com/mda-kksk814vwc1m06av/sc/mda-kksk814vwc1m06av.mp4
3D03https://vd3.bdstatic.com/mda-ne6irx2irbjbbr6v/sc/cae_h264/1651932935194074079/mda-ne6irx2irbjbbr6v.mp4
3D04,https://vd2.bdstatic.com/mda-kfhr50vjwtmttwxc/v1-cae/sc/mda-kfhr50vjwtmttwxc.mp4
3D05,https://vd4.bdstatic.com/mda-mdfijn4crxseyky0/1080p/cae_h264/1618549960/mda-mdfijn4crxseyky0.mp4
3d06,https://vd2.bdstatic.com/mda-kmtfv6y5gctpa35w/sc/mda-kmtfv6y5gctpa35w.mp4
3D07,https://vd2.bdstatic.com/mda-kkfx81ffgjvk2qja/v1-cae/sc/mda-kkfx81ffgjvk2qja.mp4
3D08,https://vd4.bdstatic.com/mda-mdfijn4crxseyky0/sc/mda-mdfijn4crxseyky0.mp4
3D09,https://vd2.bdstatic.com/mda-ki2cvyhz79rw40wg/v1-cae/sc/mda-ki2cvyhz79rw40wg.mp4
3D10,https://vd3.bdstatic.com/mda-kksk814vwc1m06av/sc/mda-kksk814vwc1m06av.mp4
3D11,https://vd3.bdstatic.com/mda-nd6k8tnavw6sj0a5/1080p/cae_h264_delogo/1649341416696755483/mda-nd6k8tnavw6sj0a5.mp4














